"State_Name","District","Sub-District","Financial_Year","Month","Indicator_Code","Indicator_Name","Code_And_Section","Reported_Value_for_Public_Facility","Reported_Value_for_Private_Facility","Reported_Value_for_Rural","Reported_Value_for_Urban"
"Delhi","North","ESI","2019-2020","January","1.5.3","Number of PW given insulin out of total tested positive for GDM","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Delhi","North","ESI","2019-2020","January","9.4.5","Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Delhi","North","ESI","2019-2020","January","9.8.3","Child immunisation - Vitamin A Dose - 9","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Delhi","North","ESI","2019-2020","January","11.1.2.a","RDT conducted for Malaria","M11 [NVBDCP]","3","NA","NA","3"
"Delhi","North","ESI","2019-2020","January","11.3.2","Dengue - Enzyme- Linked Immuno Sorbent Assay (ELISA) Test Positive","M11 [NVBDCP]","NA","NA","NA","NA"
"Delhi","North","ESI","2019-2020","January","16.2.1","Infant Deaths up to 4 weeks due to Sepsis","M16 [Details of deaths reported with probable causes:]","NA","NA","NA","NA"
"Delhi","North","ESI","2019-2020","January","8.14","Number of Centchroman (weekly) pill strips distributed","M8 [Family Planning]","NA","NA","NA","NA"
"Delhi","North","IPP VIII-MCD","2019-2020","January","1.3.1.a","Out of the new cases of PW with hypertension detected, cases managed at institution","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Delhi","North","IPP VIII-MCD","2019-2020","January","8.2.3","Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted","M8 [Family Planning]","NA","NA","NA","NA"
"Delhi","North","IPP VIII-MCD","2019-2020","January","11.2.1","Kala Azar (RDT) - Tests Conducted","M11 [NVBDCP]","NA","NA","NA","NA"
"Delhi","North","IPP VIII-MCD","2019-2020","January","14.18","Blood Units Issued on replacement (Family Donors to be considered as replacement donations)","M14 [Patient Services]","NA","NA","NA","NA"
"Delhi","North","IPP VIII-MCD","2019-2020","January","16.7.4","Number of Adolscent / Adult deaths due to Other Fever Related","M16 [Details of deaths reported with probable causes:]","1","NA","NA","1"
"Delhi","North","IPP VIII-MCD","2019-2020","January","16.7.5","Number of Adolscent / Adult deaths due to HIV/AIDS","M16 [Details of deaths reported with probable causes:]","NA","NA","NA","NA"
"Delhi","North","MCD","2019-2020","January","10.2","Childhood Diseases - Asthma","M10 [Number of cases of Childhood Diseases (0-5 years)]","121","NA","NA","121"
"Delhi","North","MCD","2019-2020","January","14.2.2","Ayush - Outpatient attendance","M14 [Patient Services]","NA","NA","NA","NA"
"Delhi","North","MCD","2019-2020","January","16.3.4","Number of Infant Deaths (1 -12 months) due to Measles","M16 [Details of deaths reported with probable causes:]","NA","NA","NA","NA"
"Delhi","North","MCW Centres MCD","2019-2020","January","2.1.2","Number of PW given Tablet Misoprostol during home delivery","M2 [Deliveries]","NA","NA","NA","NA"
"Delhi","North","MCW Centres MCD","2019-2020","January","10.4","Childhood Diseases - Diphtheria","M10 [Number of cases of Childhood Diseases (0-5 years)]","NA","NA","NA","NA"
"Delhi","North","MCW Centres MCD","2019-2020","January","11.2.2","Kala Azar Positive Cases","M11 [NVBDCP]","NA","NA","NA","NA"
"Delhi","North","MCW Centres MCD","2019-2020","January","12.1.2.b","Out of registered, Boys received clinical services","M12 [Adolscent Health]","61","NA","NA","61"
"Delhi","North","MCW Centres MCD","2019-2020","January","14.7","Number of deaths occurring at Emergency Department","M14 [Patient Services]","NA","NA","NA","NA"
"Delhi","North","MCW Centres MCD","2019-2020","January","14.8.5","Number of post operative Surgical Site infection","M14 [Patient Services]","NA","NA","NA","NA"
"Delhi","North","MCW Centres MCD","2019-2020","January","14.16","Number of Anganwadi centres/ UPHCs reported to have conducted Village Health & Nutrition Day (VHNDs)/ Urban Health & Nutrition Day (UHNDs)/ Outreach / Special Outreach","M14 [Patient Services]","0","NA","NA","0"
"Delhi","North","MCW Centres MCD","2019-2020","January","16.4.1","Number of Child Deaths (1 -5 years) due to Pneumonia","M16 [Details of deaths reported with probable causes:]","NA","NA","NA","NA"
"Delhi","North","MCW Centres MCD","2019-2020","January","16.8.5","Number of Deaths due to Acute Encephelitis Syndrome (AES)","M16 [Details of deaths reported with probable causes:]","NA","NA","NA","NA"
"Delhi","North","Others","2019-2020","January","13.2","Number of DOTS cases completed successfully","M13 [Directly Observed Treatment, Short-course (DOTS)]","8","NA","NA","8"
"Delhi","North","Others","2019-2020","January","14.3.2.a","Inpatient (Female)- Children<18yrs","M14 [Patient Services]","NA","NA","NA","NA"
"Delhi","North","Others","2019-2020","January","14.12.5","Number of newborns admitted in SNCU - referred by ASHA","M14 [Patient Services]","NA","NA","NA","NA"
"Delhi","North","Others","2019-2020","January","16.2.2","Infant Deaths up to 4 weeks due to Asphyxia","M16 [Details of deaths reported with probable causes:]","NA","NA","NA","NA"
"Delhi","North","Others","2019-2020","January","16.3.3","Number of Infant Deaths (1 -12 months) due to Fever related","M16 [Details of deaths reported with probable causes:]","NA","NA","NA","NA"
"Delhi","North","Others","2019-2020","January","16.7.2","Number of Adolscent / Adult deaths due to Tuberculosis","M16 [Details of deaths reported with probable causes:]","NA","NA","NA","NA"
"Delhi","North","Others","2019-2020","January","8.14","Number of Centchroman (weekly) pill strips distributed","M8 [Family Planning]","NA","NA","NA","NA"
"Delhi","North","Private","2019-2020","January","3.1","Total C -Section deliveries performed","M3 [Number of Caesarean (C-Section) deliveries]","NA","14","NA","14"
"Delhi","North","Private","2019-2020","January","9.3.1","Child immunisation - Measles & Rubella (MR)- 1st Dose","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Delhi","North","Private","2019-2020","January","14.12.4","Outborn - Female","M14 [Patient Services]","NA","NA","NA","NA"
"Delhi","North","Private","2019-2020","January","15.3.2.a","Female Non ANC HIV - Number Tested","M15 [Laboratory Testing]","NA","4","NA","4"
"Delhi","North","Private","2019-2020","January","15.5.2","Radiology - Ultrasonography (USG)","M15 [Laboratory Testing]","NA","NA","NA","NA"
"Delhi","North","CGHS","2019-2020","January","1.5.3","Number of PW given insulin out of total tested positive for GDM","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Delhi","North","CGHS","2019-2020","January","4.4.2","Number of newborns having weight less than 2.5 kg","M4 [Pregnancy outcome & details of new-born]","NA","NA","NA","NA"
"Delhi","North","CGHS","2019-2020","January","6.2","Women receiving 1st post partum checkup between 48 hours and 14 days","M6 [Post Natal Care (PNC)]","NA","NA","NA","NA"
