Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,2826,1853,973,2131,695,NA,NA,NA,NA,NA,9,9,NA,9,NA,908,908,NA,908,NA,23,23,NA,23,NA,121,121,NA,121,NA,792,792,NA,406,386,973,NA,973,664,309
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1475,1005,470,1065,410,NA,NA,NA,NA,NA,4,4,NA,4,NA,466,466,NA,466,NA,3,3,NA,3,NA,75,75,NA,75,NA,457,457,NA,208,249,470,NA,470,309,161
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,1589,1318,271,894,695,103,103,NA,NA,103,5,5,NA,5,NA,635,635,NA,333,302,10,10,NA,10,NA,96,96,NA,96,NA,469,469,NA,232,237,271,NA,271,218,53
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,1170,945,225,712,458,90,90,NA,NA,90,6,6,NA,6,NA,432,432,NA,253,179,15,15,NA,15,NA,74,74,NA,74,NA,328,328,NA,177,151,225,NA,225,187,38
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,180,154,26,137,43,0,0,NA,NA,0,0,0,NA,0,NA,79,79,NA,55,24,0,0,NA,0,NA,27,27,NA,27,NA,48,48,NA,29,19,26,NA,26,26,0
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,2080,1711,369,1286,794,193,193,NA,NA,193,0,0,NA,0,NA,1211,1211,NA,706,505,7,7,NA,7,NA,50,50,NA,50,NA,250,250,NA,154,96,369,NA,369,369,0
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,1689,1321,368,1114,575,7,7,NA,NA,7,0,0,NA,0,NA,1103,1103,NA,598,505,5,5,NA,5,NA,50,50,NA,50,NA,156,156,NA,93,63,368,NA,368,368,0
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,840,798,42,339,501,1,1,NA,NA,1,NA,NA,NA,NA,NA,425,425,NA,169,256,0,0,NA,0,NA,32,32,NA,32,NA,340,340,NA,96,244,42,NA,42,42,0
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,2121,1452,669,846,1275,392,392,NA,NA,392,0,0,NA,0,NA,849,849,NA,89,760,1,1,NA,1,NA,29,29,NA,29,NA,181,181,NA,70,111,669,NA,669,657,12
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,37,17,20,20,17,0,0,NA,NA,0,NA,NA,NA,NA,NA,17,17,NA,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,20,NA,20,20,0
