Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,2706,1510,1196,1866,840,NA,NA,NA,NA,NA,14,14,NA,14,NA,722,722,NA,722,NA,35,35,NA,35,NA,102,102,NA,102,NA,637,637,NA,294,343,1196,NA,1196,699,497
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1267,772,495,856,411,NA,NA,NA,NA,NA,8,8,NA,8,NA,365,365,NA,365,NA,3,3,NA,3,NA,61,61,NA,61,NA,335,335,NA,135,200,495,NA,495,284,211
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,511,232,279,226,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,219,NA,0,219,6,6,NA,6,NA,7,7,NA,7,NA,0,0,NA,0,0,279,NA,279,213,66
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,435,147,288,207,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,129,NA,0,129,14,14,NA,14,NA,4,4,NA,4,NA,0,0,NA,0,0,288,NA,288,189,99
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,73,28,45,48,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,NA,0,25,0,0,NA,0,NA,3,3,NA,3,NA,0,0,NA,0,0,45,NA,45,45,0
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1507,1162,345,794,713,209,209,NA,NA,209,1,1,NA,1,NA,614,614,NA,241,373,10,10,NA,10,NA,66,66,NA,66,NA,262,262,NA,143,119,345,NA,345,333,12
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,1098,758,340,678,420,5,5,NA,NA,5,1,1,NA,1,NA,564,564,NA,191,373,3,3,NA,3,NA,65,65,NA,65,NA,120,120,NA,90,30,340,NA,340,328,12
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,792,746,46,330,462,5,5,NA,NA,5,NA,NA,NA,NA,NA,363,363,NA,140,223,0,0,NA,0,NA,60,60,NA,60,NA,318,318,NA,96,222,46,NA,46,34,12
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,2203,1538,665,919,1284,509,509,NA,NA,509,1,1,NA,1,NA,758,758,NA,160,598,2,2,NA,2,NA,40,40,NA,40,NA,228,228,NA,86,142,665,NA,665,630,35
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,52,29,23,23,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,29,NA,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,23,NA,23,23,0
