Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - NGO - Total [(A+B) or (C+D)],SubDistrict - NGO - Public [A],SubDistrict - NGO - Private [B],SubDistrict - NGO - Urban [C],SubDistrict - NGO - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,3069,1988,1081,1569,1500,260,260,NA,NA,260,8,8,NA,8,NA,1009,1009,NA,520,489,20,20,NA,20,NA,90,90,NA,90,NA,601,601,NA,279,322,50,NA,50,50,NA,1031,NA,1031,602,429
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1510,1080,430,805,705,172,172,NA,NA,172,6,6,NA,6,NA,443,443,NA,315,128,0,0,NA,0,NA,57,57,NA,57,NA,402,402,NA,164,238,24,NA,24,24,NA,406,NA,406,239,167
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,356,126,230,190,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,126,NA,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,29,29,NA,201,NA,201,161,40
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,362,94,268,222,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,94,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,39,39,NA,229,NA,229,183,46
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,79,22,57,57,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,22,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,30,30,NA,27,NA,27,27,0
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1241,835,406,767,474,158,158,NA,NA,158,1,1,NA,1,NA,440,440,NA,198,242,7,7,NA,7,NA,55,55,NA,55,NA,174,174,NA,108,66,40,NA,40,40,NA,366,NA,366,358,8
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,1030,627,403,730,300,8,8,NA,NA,8,1,1,NA,1,NA,436,436,NA,194,242,5,5,NA,5,NA,55,55,NA,55,NA,122,122,NA,80,42,37,NA,37,37,NA,366,NA,366,358,8
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,654,618,36,258,396,1,1,NA,NA,1,NA,NA,NA,NA,NA,357,357,NA,111,246,0,0,NA,0,NA,33,33,NA,33,NA,227,227,NA,86,141,0,NA,0,0,NA,36,NA,36,28,8
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,1217,815,402,634,583,NA,NA,NA,NA,NA,1,1,NA,1,NA,572,572,NA,85,487,2,2,NA,2,NA,28,28,NA,28,NA,212,212,NA,135,77,29,NA,29,29,NA,373,NA,373,354,19
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,558,529,29,64,494,467,467,NA,NA,467,NA,NA,NA,NA,NA,62,62,NA,35,27,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,29,NA,29,29,0
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,204,183,21,29,175,44,44,NA,NA,44,NA,NA,NA,NA,NA,130,130,NA,3,127,1,1,NA,1,NA,NA,NA,NA,NA,NA,8,8,NA,5,3,0,NA,0,0,NA,21,NA,21,20,1
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,111,93,18,20,91,44,44,NA,NA,44,NA,NA,NA,NA,NA,46,46,NA,2,44,0,0,NA,0,NA,NA,NA,NA,NA,NA,3,3,NA,0,3,0,NA,0,0,NA,18,NA,18,18,NA
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,16,15,1,1,15,13,13,NA,NA,13,NA,NA,NA,NA,NA,2,2,NA,NA,2,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,1,NA,1,1,NA
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,1096,897,199,252,844,255,255,NA,NA,255,NA,NA,NA,NA,NA,586,586,NA,13,573,3,3,NA,3,NA,37,37,NA,37,NA,16,16,NA,0,16,1,NA,1,1,NA,198,NA,198,198,0
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,828,628,200,468,360,60,60,NA,NA,60,NA,NA,NA,NA,NA,334,334,NA,236,98,8,8,NA,8,NA,27,27,NA,27,NA,199,199,NA,0,199,38,NA,38,38,NA,162,NA,162,159,3
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,70,40,30,32,38,3,3,NA,NA,3,NA,NA,NA,NA,NA,37,37,NA,2,35,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,NA,30,NA,30,30,0
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,32,27,5,5,27,3,3,NA,NA,3,NA,NA,NA,NA,NA,24,24,NA,0,24,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,5,NA,5,5,0
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,993,821,172,191,802,255,255,NA,NA,255,NA,NA,NA,NA,NA,508,508,NA,19,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,58,NA,NA,58,32,NA,32,32,NA,140,NA,140,140,NA
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,75,56,19,14,61,55,55,NA,NA,55,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,0,NA,0,0,NA,19,NA,19,14,5
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,16,10,6,5,11,10,10,NA,NA,10,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,6,NA,6,5,1
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,981,896,85,99,882,255,255,NA,NA,255,NA,NA,NA,NA,NA,511,511,NA,22,489,0,0,NA,0,NA,NA,NA,NA,NA,NA,130,130,NA,0,130,36,NA,36,36,NA,49,NA,49,41,8
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,0
