Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - NGO - Total [(A+B) or (C+D)],SubDistrict - NGO - Public [A],SubDistrict - NGO - Private [B],SubDistrict - NGO - Urban [C],SubDistrict - NGO - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,4163,3073,1090,1842,2321,302,302,NA,NA,302,8,8,NA,8,NA,1892,1892,NA,742,1150,20,20,NA,20,NA,103,103,NA,103,NA,748,748,NA,342,406,47,NA,47,47,NA,1043,NA,1043,580,463
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,2326,1779,547,1068,1258,205,205,NA,NA,205,3,3,NA,3,NA,1024,1024,NA,446,578,3,3,NA,3,NA,58,58,NA,58,NA,486,486,NA,210,276,41,NA,41,41,NA,506,NA,506,307,199
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,407,157,250,199,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,156,NA,NA,156,NA,NA,NA,NA,NA,1,1,NA,1,NA,0,0,NA,0,NA,15,NA,15,15,NA,235,NA,235,183,52
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,230,48,182,133,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,47,NA,NA,47,NA,NA,NA,NA,NA,1,1,NA,1,NA,0,0,NA,0,NA,0,NA,0,0,NA,182,NA,182,132,50
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,62,28,34,34,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,28,NA,NA,28,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,0,NA,34,NA,34,34,0
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1150,827,323,695,455,206,206,NA,NA,206,0,0,NA,0,NA,337,337,NA,179,158,11,11,NA,11,NA,75,75,NA,75,NA,198,198,NA,117,81,42,NA,42,42,NA,281,NA,281,271,10
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,859,543,316,648,211,4,4,NA,NA,4,0,0,NA,0,NA,335,335,NA,177,158,8,8,NA,8,NA,74,74,NA,74,NA,122,122,NA,83,39,38,NA,38,38,NA,278,NA,278,268,10
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,761,732,29,319,442,2,2,NA,NA,2,NA,NA,NA,NA,NA,385,385,NA,151,234,0,0,NA,0,NA,46,46,NA,46,NA,299,299,NA,103,196,0,NA,0,0,NA,29,NA,29,19,10
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,2021,1742,279,523,1498,376,376,NA,NA,376,0,0,NA,0,NA,1128,1128,NA,118,1010,2,2,NA,2,NA,38,38,NA,38,NA,198,198,NA,107,91,30,NA,30,30,NA,249,NA,249,228,21
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,294,0,294,294,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,294,NA,294,294,0
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,143,110,33,34,109,33,33,NA,NA,33,NA,NA,NA,NA,NA,70,70,NA,5,65,1,1,NA,1,NA,NA,NA,NA,NA,NA,6,6,NA,5,1,0,NA,0,0,NA,33,NA,33,23,10
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,120,99,21,21,99,33,33,NA,NA,33,NA,NA,NA,NA,NA,65,65,NA,0,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,0,NA,0,0,NA,21,NA,21,21,0
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,7,6,1,1,6,6,6,NA,NA,6,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,1,1,0
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,1050,866,184,271,779,173,173,NA,NA,173,NA,NA,NA,NA,NA,681,681,NA,84,597,3,3,NA,3,NA,NA,NA,NA,NA,NA,9,9,NA,0,9,0,NA,0,0,NA,184,NA,184,184,0
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,729,533,196,438,291,45,45,NA,NA,45,NA,NA,NA,NA,NA,268,268,NA,217,51,13,13,NA,13,NA,NA,NA,NA,NA,NA,207,207,NA,13,194,23,NA,23,23,NA,173,NA,173,172,1
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,49,33,16,16,33,2,2,NA,NA,2,NA,NA,NA,NA,NA,31,31,NA,0,31,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,16,NA,16,16,0
