Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,4289,3163,1126,1993,2296,323,323,NA,NA,323,13,13,NA,13,NA,1962,1962,NA,834,1128,26,26,NA,26,NA,63,63,NA,63,NA,776,776,NA,359,417,1126,NA,1126,698,428
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,2075,1527,548,990,1085,217,217,NA,NA,217,9,9,NA,9,NA,863,863,NA,427,436,1,1,NA,1,NA,47,47,NA,47,NA,390,390,NA,170,220,548,NA,548,336,212
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,537,283,254,245,292,NA,NA,NA,NA,NA,0,0,NA,0,NA,283,283,NA,19,264,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,254,NA,254,226,28
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,405,164,241,228,177,NA,NA,NA,NA,NA,0,0,NA,0,NA,164,164,NA,35,129,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,241,NA,241,193,48
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,72,33,39,44,28,NA,NA,NA,NA,NA,0,0,NA,0,NA,32,32,NA,4,28,1,1,NA,1,NA,0,0,NA,0,NA,0,0,NA,0,0,39,NA,39,39,0
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1630,1291,339,913,717,224,224,NA,NA,224,1,1,NA,1,NA,822,822,NA,401,421,15,15,NA,15,NA,68,68,NA,68,NA,161,161,NA,93,68,339,NA,339,335,4
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,1484,1153,331,1002,482,0,0,NA,NA,0,1,1,NA,1,NA,1001,1001,NA,580,421,5,5,NA,5,NA,68,68,NA,68,NA,78,78,NA,21,57,331,NA,331,327,4
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,921,886,35,345,576,5,5,NA,NA,5,NA,NA,NA,NA,NA,414,414,NA,147,267,1,1,NA,1,NA,39,39,NA,39,NA,427,427,NA,127,300,35,NA,35,31,4
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,2676,2061,615,884,1792,593,593,NA,NA,593,NA,NA,NA,NA,NA,1193,1193,NA,120,1073,3,3,NA,3,NA,53,53,NA,53,NA,219,219,NA,102,117,615,NA,615,606,9
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,35,16,19,19,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,NA,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,19,NA,19,19,0
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,250,222,28,104,146,25,25,NA,NA,25,NA,NA,NA,NA,NA,194,194,NA,73,121,0,0,NA,0,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,28,NA,28,28,0
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,226,200,26,116,110,25,25,NA,NA,25,NA,NA,NA,NA,NA,175,175,NA,90,85,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,26,NA,26,26,0
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,2,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,NA,2,2,0
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,1711,1434,277,325,1386,227,227,NA,NA,227,NA,NA,NA,NA,NA,1147,1147,NA,19,1128,12,12,NA,12,NA,21,21,NA,21,NA,27,27,NA,1,26,277,NA,277,272,5
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,1046,843,203,615,431,58,58,NA,NA,58,NA,NA,NA,NA,NA,257,257,NA,196,61,12,12,NA,12,NA,91,91,NA,91,NA,425,425,NA,118,307,203,NA,203,198,5
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,45,30,15,25,20,4,4,NA,NA,4,NA,NA,NA,NA,NA,22,22,NA,7,15,0,0,NA,0,NA,1,1,NA,1,NA,3,3,NA,2,1,15,NA,15,15,0
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,24,21,3,9,15,4,4,NA,NA,4,NA,NA,NA,NA,NA,15,15,NA,4,11,0,0,NA,0,NA,1,1,NA,1,NA,1,1,NA,1,0,3,NA,3,3,0
