Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,3300,2354,946,1659,1641,222,222,NA,NA,222,13,13,NA,13,NA,1395,1395,NA,634,761,23,23,NA,23,NA,93,93,NA,93,NA,608,608,NA,311,297,946,NA,946,585,361
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1566,1183,383,787,779,135,135,NA,NA,135,5,5,NA,5,NA,656,656,NA,316,340,3,3,NA,3,NA,49,49,NA,49,NA,335,335,NA,157,178,383,NA,383,257,126
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,553,318,235,297,256,NA,NA,NA,NA,NA,3,3,NA,3,NA,310,310,NA,109,201,4,4,NA,4,NA,0,0,NA,0,NA,1,1,NA,1,0,235,NA,235,180,55
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,430,217,213,269,161,NA,NA,NA,NA,NA,4,4,NA,4,NA,212,212,NA,91,121,1,1,NA,1,NA,0,0,NA,0,NA,0,0,NA,0,0,213,NA,213,173,40
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,65,43,22,46,19,NA,NA,NA,NA,NA,0,0,NA,0,NA,42,42,NA,23,19,1,1,NA,1,NA,0,0,NA,0,NA,0,0,NA,0,0,22,NA,22,22,0
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1506,1179,327,924,582,161,161,NA,NA,161,NA,NA,NA,NA,NA,758,758,NA,417,341,7,7,NA,7,NA,67,67,NA,67,NA,186,186,NA,110,76,327,NA,327,323,4
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,1378,1047,331,979,399,0,0,NA,NA,0,NA,NA,NA,NA,NA,851,851,NA,510,341,3,3,NA,3,NA,65,65,NA,65,NA,128,128,NA,74,54,331,NA,331,327,4
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,770,734,36,346,424,4,4,NA,NA,4,NA,NA,NA,NA,NA,409,409,NA,173,236,2,2,NA,2,NA,33,33,NA,33,NA,286,286,NA,106,180,36,NA,36,32,4
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,1942,1403,539,765,1177,374,374,NA,NA,374,NA,NA,NA,NA,NA,824,824,NA,118,706,2,2,NA,2,NA,37,37,NA,37,NA,166,166,NA,84,82,539,NA,539,524,15
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,44,21,23,23,21,0,0,NA,NA,0,NA,NA,NA,NA,NA,21,21,NA,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,23,NA,23,23,0
