Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - NGO - Total [(A+B) or (C+D)],SubDistrict - NGO - Public [A],SubDistrict - NGO - Private [B],SubDistrict - NGO - Urban [C],SubDistrict - NGO - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,2338,1663,675,1028,1310,194,194,NA,NA,194,4,4,NA,4,NA,841,841,NA,353,488,23,23,NA,23,NA,85,85,NA,85,NA,516,516,NA,208,308,41,NA,41,41,NA,634,NA,634,314,320
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1245,868,377,607,638,156,156,NA,NA,156,2,2,NA,2,NA,307,307,NA,209,98,4,4,NA,4,NA,65,65,NA,65,NA,334,334,NA,127,207,39,NA,39,39,NA,338,NA,338,161,177
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,211,82,129,111,100,NA,NA,NA,NA,NA,0,0,NA,0,NA,79,79,NA,16,63,NA,NA,NA,NA,NA,2,2,NA,2,NA,1,1,NA,1,NA,18,NA,18,18,NA,111,NA,111,74,37
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,156,58,98,80,76,NA,NA,NA,NA,NA,0,0,NA,0,NA,56,56,NA,10,46,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,2,NA,2,NA,0,NA,0,0,NA,98,NA,98,68,30
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,38,19,19,24,14,NA,NA,NA,NA,NA,0,0,NA,0,NA,17,17,NA,3,14,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,1,NA,1,NA,0,NA,0,0,NA,19,NA,19,19,0
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,767,619,148,396,371,147,147,NA,NA,147,0,0,NA,0,NA,244,244,NA,121,123,12,12,NA,12,NA,55,55,NA,55,NA,161,161,NA,66,95,37,NA,37,37,NA,111,NA,111,105,6
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,543,400,143,356,187,5,5,NA,NA,5,0,0,NA,0,NA,238,238,NA,115,123,10,10,NA,10,NA,55,55,NA,55,NA,92,92,NA,39,53,37,NA,37,37,NA,106,NA,106,100,6
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,458,432,26,151,307,2,2,NA,NA,2,0,0,NA,0,NA,180,180,NA,74,106,0,0,NA,0,NA,18,18,NA,18,NA,232,232,NA,39,193,8,NA,8,8,NA,18,NA,18,12,6
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,1177,909,268,439,738,279,279,NA,NA,279,0,0,NA,0,NA,444,444,NA,89,355,0,0,NA,0,NA,30,30,NA,30,NA,156,156,NA,63,93,35,NA,35,35,NA,233,NA,233,222,11
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,35,32,3,3,32,NA,NA,NA,NA,NA,0,0,NA,0,NA,32,32,NA,NA,32,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,NA,0,0,NA,0,0,NA,3,NA,3,3,0
