Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,4171,3183,988,1904,2267,428,428,NA,NA,428,12,12,NA,12,NA,1971,1971,NA,837,1134,25,25,NA,25,NA,94,94,NA,94,NA,653,653,NA,303,350,988,NA,988,633,355
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1905,1481,424,963,942,327,327,NA,NA,327,6,6,NA,6,NA,685,685,NA,421,264,2,2,NA,2,NA,67,67,NA,67,NA,394,394,NA,185,209,424,NA,424,282,142
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,683,433,250,374,309,NA,NA,NA,NA,NA,5,5,NA,5,NA,391,391,NA,137,254,14,14,NA,14,NA,0,0,NA,0,NA,23,23,NA,23,NA,250,NA,250,195,55
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,544,337,207,313,231,NA,NA,NA,NA,NA,4,4,NA,4,NA,295,295,NA,94,201,15,15,NA,15,NA,0,0,NA,0,NA,23,23,NA,23,NA,207,NA,207,177,30
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,41,26,15,34,7,0,0,NA,NA,0,0,0,NA,0,NA,22,22,NA,15,7,1,1,NA,1,NA,0,0,NA,0,NA,3,3,NA,3,NA,15,NA,15,15,0
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1905,1562,343,1109,796,240,240,NA,NA,240,0,0,NA,0,NA,1007,1007,NA,545,462,8,8,NA,8,NA,67,67,NA,67,NA,240,240,NA,146,94,343,NA,343,343,0
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,2414,2069,345,1872,542,11,11,NA,NA,11,0,0,NA,0,NA,1824,1824,NA,1362,462,3,3,NA,3,NA,63,63,NA,63,NA,168,168,NA,99,69,345,NA,345,345,0
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,799,769,30,353,446,8,8,NA,NA,8,0,0,NA,0,NA,422,422,NA,160,262,0,0,NA,0,NA,33,33,NA,33,NA,306,306,NA,130,176,30,NA,30,30,0
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,2059,1686,373,618,1441,458,458,NA,NA,458,0,0,NA,0,NA,1006,1006,NA,139,867,2,2,NA,2,NA,34,34,NA,34,NA,186,186,NA,75,111,373,NA,373,368,5
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,43,17,26,28,15,0,0,NA,NA,0,NA,NA,NA,NA,NA,15,15,NA,0,15,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,26,NA,26,26,0
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,124,99,25,30,94,20,20,NA,NA,20,NA,NA,NA,NA,NA,76,76,NA,2,74,0,0,NA,0,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,25,NA,25,25,0
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,90,69,21,21,69,20,20,NA,NA,20,NA,NA,NA,NA,NA,47,47,NA,0,47,0,0,NA,0,NA,NA,NA,NA,NA,NA,2,2,NA,0,2,21,NA,21,21,0
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,1614,1374,240,284,1330,178,178,NA,NA,178,NA,NA,NA,NA,NA,1161,1161,NA,27,1134,0,0,NA,0,NA,13,13,NA,13,NA,22,22,NA,4,18,240,NA,240,240,0
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,865,711,154,467,398,40,40,NA,NA,40,NA,NA,NA,NA,NA,331,331,NA,245,86,0,0,NA,0,NA,26,26,NA,26,NA,314,314,NA,42,272,154,NA,154,154,0
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,19,14,5,8,11,1,1,NA,NA,1,NA,NA,NA,NA,NA,13,13,NA,3,10,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,5,NA,5,5,0
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,10,7,3,5,5,0,0,NA,NA,0,NA,NA,NA,NA,NA,7,7,NA,2,5,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,3,NA,3,3,0
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,1641,1421,220,272,1369,178,178,NA,NA,178,NA,NA,NA,NA,NA,1186,1186,NA,52,1134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,57,NA,NA,57,220,NA,220,220,0
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,57,35,22,11,46,34,34,NA,NA,34,NA,NA,NA,NA,NA,1,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,22,NA,22,10,12
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,13,10,3,3,10,10,10,NA,NA,10,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,0
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,1672,1612,60,258,1414,178,178,NA,NA,178,NA,NA,NA,NA,NA,1290,1290,NA,156,1134,0,0,NA,0,NA,NA,NA,NA,NA,NA,144,144,NA,42,102,60,NA,60,60,0
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,1,0,1,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,1,NA,1,1,0
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,60,60,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,27,NA,27,NA,NA,NA,NA,NA,NA,10,10,NA,10,NA,23,23,NA,23,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,37,37,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,NA,14,NA,NA,NA,NA,NA,NA,12,12,NA,12,NA,11,11,NA,11,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,847,447,400,305,542,178,178,NA,NA,178,NA,NA,NA,NA,NA,269,269,NA,0,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,400,NA,400,305,95
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,318,163,155,123,195,85,85,NA,NA,85,NA,NA,NA,NA,NA,78,78,NA,0,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,155,NA,155,123,32
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,560,560,0,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297,297,NA,297,NA,NA,NA,NA,NA,NA,22,22,NA,22,NA,241,241,NA,241,NA,0,NA,0,0,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,322,141,181,118,204,93,93,NA,NA,93,NA,NA,NA,NA,NA,48,48,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,NA,181,118,63
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,98,57,41,27,71,33,33,NA,NA,33,NA,NA,NA,NA,NA,24,24,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,41,27,14
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,473,253,220,199,274,82,82,NA,NA,82,NA,NA,NA,NA,NA,156,156,NA,14,142,NA,NA,NA,NA,NA,4,4,NA,4,NA,11,11,NA,11,NA,220,NA,220,170,50
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,435,249,186,167,268,95,95,NA,NA,95,NA,NA,NA,NA,NA,138,138,NA,14,124,NA,NA,NA,NA,NA,4,4,NA,4,NA,12,12,NA,12,NA,186,NA,186,137,49
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,83,61,22,16,67,40,40,NA,NA,40,NA,NA,NA,NA,NA,21,21,NA,0,21,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,22,NA,22,16,6
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,12,10,2,3,9,5,5,NA,NA,5,NA,NA,NA,NA,NA,3,3,NA,0,3,NA,NA,NA,NA,NA,2,2,NA,2,NA,0,0,NA,0,NA,2,NA,2,1,1
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,80,36,44,47,33,8,8,NA,NA,8,NA,NA,NA,NA,NA,22,22,NA,0,22,NA,NA,NA,NA,NA,6,6,NA,6,NA,NA,NA,NA,NA,NA,44,NA,44,41,3
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,184,63,121,106,78,54,54,NA,NA,54,NA,NA,NA,NA,NA,9,9,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,121,106,15
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,35,22,13,13,22,19,19,NA,NA,19,NA,NA,NA,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,13,13,0
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
