Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - NGO - Total [(A+B) or (C+D)],SubDistrict - NGO - Public [A],SubDistrict - NGO - Private [B],SubDistrict - NGO - Urban [C],SubDistrict - NGO - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,3605,2374,1231,1805,1800,295,295,NA,NA,295,9,9,NA,9,NA,1425,1425,NA,660,765,21,21,NA,21,NA,82,82,NA,82,NA,542,542,NA,244,298,46,NA,46,46,NA,1185,NA,1185,743,442
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1668,1187,481,807,861,195,195,NA,NA,195,4,4,NA,4,NA,646,646,NA,363,283,5,5,NA,5,NA,48,48,NA,48,NA,289,289,NA,121,168,36,NA,36,36,NA,445,NA,445,230,215
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,407,150,257,206,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,150,NA,0,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,22,22,NA,235,NA,235,184,51
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,315,63,252,201,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,63,NA,0,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,28,28,NA,224,NA,224,173,51
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,46,5,41,41,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,12,12,NA,29,NA,29,29,0
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1160,857,303,679,481,171,171,NA,NA,171,1,1,NA,1,NA,441,441,NA,223,218,5,5,NA,5,NA,15,15,NA,15,NA,224,224,NA,143,81,39,NA,39,39,NA,264,NA,264,253,11
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,895,594,301,606,289,8,8,NA,NA,8,1,1,NA,1,NA,440,440,NA,222,218,10,10,NA,10,NA,15,15,NA,15,NA,120,120,NA,68,52,37,NA,37,37,NA,264,NA,264,253,11
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,1054,1010,44,326,728,1,1,NA,NA,1,NA,NA,NA,NA,NA,642,642,NA,122,520,4,4,NA,4,NA,45,45,NA,45,NA,318,318,NA,122,196,11,NA,11,11,NA,33,NA,33,22,11
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,1332,1103,229,499,833,498,498,NA,NA,498,1,1,NA,1,NA,353,353,NA,135,218,0,0,NA,0,NA,37,37,NA,37,NA,214,214,NA,115,99,21,NA,21,21,NA,208,NA,208,190,18
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,49,35,14,14,35,0,0,NA,NA,0,NA,NA,NA,NA,NA,35,35,NA,0,35,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,14,NA,14,14,0
