Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - NGO - Total [(A+B) or (C+D)],SubDistrict - NGO - Public [A],SubDistrict - NGO - Private [B],SubDistrict - NGO - Urban [C],SubDistrict - NGO - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,2049,1089,960,1493,556,NA,NA,NA,NA,NA,8,8,NA,8,NA,485,485,NA,485,NA,18,18,NA,18,NA,65,65,NA,65,NA,513,513,NA,257,256,33,NA,33,33,NA,927,NA,927,627,300
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1027,561,466,716,311,NA,NA,NA,NA,NA,4,4,NA,4,NA,257,257,NA,257,NA,6,6,NA,6,NA,39,39,NA,39,NA,255,255,NA,120,135,26,NA,26,26,NA,440,NA,440,264,176
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,492,168,324,247,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,168,NA,0,168,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,25,NA,25,25,NA,299,NA,299,222,77
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,341,85,256,210,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,85,NA,0,85,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,17,NA,17,17,NA,239,NA,239,193,46
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,67,7,60,60,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,0,7,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,4,NA,4,4,NA,56,NA,56,56,0
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1324,956,368,761,563,177,177,NA,NA,177,NA,NA,NA,NA,NA,492,492,NA,232,260,5,5,NA,5,NA,68,68,NA,68,NA,214,214,NA,105,109,32,NA,32,32,NA,336,NA,336,319,17
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,1051,691,360,712,339,9,9,NA,NA,9,NA,NA,NA,NA,NA,485,485,NA,225,260,5,5,NA,5,NA,68,68,NA,68,NA,124,124,NA,71,53,32,NA,32,32,NA,328,NA,328,311,17
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,678,635,43,263,415,1,1,NA,NA,1,NA,NA,NA,NA,NA,356,356,NA,116,240,0,0,NA,0,NA,23,23,NA,23,NA,255,255,NA,98,157,1,NA,1,1,NA,42,NA,42,25,17
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,1362,837,525,759,603,457,457,NA,NA,457,NA,NA,NA,NA,NA,125,125,NA,125,NA,3,3,NA,3,NA,42,42,NA,42,NA,210,210,NA,85,125,7,NA,7,7,NA,518,NA,518,497,21
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,51,28,23,23,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,28,NA,0,28,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,1,NA,1,1,NA,22,NA,22,22,0
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,125,99,26,21,104,12,12,NA,NA,12,NA,NA,NA,NA,NA,82,82,NA,0,82,0,0,NA,0,NA,NA,NA,NA,NA,NA,5,5,NA,1,4,0,NA,0,0,NA,26,NA,26,20,6
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,87,70,17,17,70,12,12,NA,NA,12,NA,NA,NA,NA,NA,54,54,NA,0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,0,4,0,NA,0,0,NA,17,NA,17,17,0
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,1,NA,1,1,0
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,1378,1153,225,274,1104,236,236,NA,NA,236,NA,NA,NA,NA,NA,882,882,NA,25,857,2,2,NA,2,NA,22,22,NA,22,NA,11,11,NA,0,11,2,NA,2,2,NA,223,NA,223,223,0
