Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,2631,1469,1162,1849,782,NA,NA,NA,NA,NA,14,14,NA,14,NA,698,698,NA,698,NA,36,36,NA,36,NA,98,98,NA,98,NA,623,623,NA,330,293,1162,NA,1162,673,489
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1227,719,508,854,373,NA,NA,NA,NA,NA,6,6,NA,6,NA,332,332,NA,332,NA,5,5,NA,5,NA,56,56,NA,56,NA,320,320,NA,169,151,508,NA,508,286,222
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,460,188,272,241,219,NA,NA,NA,NA,NA,1,1,NA,1,NA,182,182,NA,0,182,5,5,NA,5,NA,0,0,NA,0,NA,0,0,NA,0,NA,272,NA,272,235,37
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,416,146,270,204,212,NA,NA,NA,NA,NA,1,1,NA,1,NA,138,138,NA,0,138,7,7,NA,7,NA,0,0,NA,0,NA,0,0,NA,0,NA,270,NA,270,196,74
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,117,25,92,54,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,NA,10,15,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,92,NA,92,44,48
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1402,1012,390,757,645,175,175,NA,NA,175,1,1,NA,1,NA,524,524,NA,189,335,12,12,NA,12,NA,50,50,NA,50,NA,250,250,NA,152,98,390,NA,390,353,37
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,1090,701,389,652,438,4,4,NA,NA,4,1,1,NA,1,NA,498,498,NA,163,335,5,5,NA,5,NA,49,49,NA,49,NA,144,144,NA,82,62,389,NA,389,352,37
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,797,735,62,304,493,6,6,NA,NA,6,NA,NA,NA,NA,NA,406,406,NA,160,246,0,0,NA,0,NA,35,35,NA,35,NA,288,288,NA,84,204,62,NA,62,25,37
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,2120,1580,540,775,1345,452,452,NA,NA,452,1,1,NA,1,NA,877,877,NA,131,746,3,3,NA,3,NA,41,41,NA,41,NA,206,206,NA,100,106,540,NA,540,499,41
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,50,31,19,21,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,29,NA,0,29,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,19,NA,19,19,0
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,151,124,27,24,127,37,37,NA,NA,37,NA,NA,NA,NA,NA,85,85,NA,0,85,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,27,NA,27,22,5
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,109,88,21,21,88,25,25,NA,NA,25,NA,NA,NA,NA,NA,61,61,NA,0,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,0,2,21,NA,21,21,0
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,NA,1,1,0
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,1480,1257,223,271,1209,198,198,NA,NA,198,NA,NA,NA,NA,NA,1018,1018,NA,22,996,8,8,NA,8,NA,18,18,NA,18,NA,15,15,NA,0,15,223,NA,223,223,0
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,692,503,189,447,245,42,42,NA,NA,42,NA,NA,NA,NA,NA,281,281,NA,229,52,21,21,NA,21,NA,7,7,NA,7,NA,152,152,NA,6,146,189,NA,189,184,5
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,54,42,12,25,29,1,1,NA,NA,1,NA,NA,NA,NA,NA,36,36,NA,10,26,1,1,NA,1,NA,0,0,NA,0,NA,4,4,NA,2,2,12,NA,12,12,0
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,36,32,4,15,21,1,1,NA,NA,1,NA,NA,NA,NA,NA,27,27,NA,9,18,0,0,NA,0,NA,0,0,NA,0,NA,4,4,NA,2,2,4,NA,4,4,0
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,1498,1220,278,296,1202,198,198,NA,NA,198,NA,NA,NA,NA,NA,1013,1013,NA,17,996,1,1,NA,1,NA,NA,NA,NA,NA,NA,8,8,NA,0,8,278,NA,278,278,0
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,75,49,26,16,59,47,47,NA,NA,47,NA,NA,NA,NA,NA,1,1,NA,0,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,26,NA,26,16,10
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,16,8,8,6,10,8,8,NA,NA,8,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,8,6,2
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,1387,1299,88,81,1306,198,198,NA,NA,198,NA,NA,NA,NA,NA,1026,1026,NA,30,996,0,0,NA,0,NA,NA,NA,NA,NA,NA,75,75,NA,0,75,88,NA,88,51,37
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,0
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,73,73,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,28,NA,28,NA,NA,NA,NA,NA,NA,23,23,NA,23,NA,22,22,NA,22,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,5,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,5,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,62,62,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,NA,20,NA,NA,NA,NA,NA,NA,22,22,NA,22,NA,20,20,NA,20,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,1155,663,492,363,792,198,198,NA,NA,198,NA,NA,NA,NA,NA,465,465,NA,0,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492,NA,492,363,129
