Indicator,S.No.,Parameters,Type,District - _Delhi,District - Central,District - East,District - New Delhi,District - North,District - North East,District - North West,District - Shahdara,District - South,District - South East,District - South West,District - West
M1 [Ante Natal Care Services ANC],1.1,Total number of pregnant women Registered for ANC,TOTAL,416146,52224,21559,39897,40100,23575,45540,60919,18395,24489,17435,72013
M1 [Ante Natal Care Services ANC],1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,135375,15631,6015,8722,10672,9065,17344,12005,6959,11964,8452,28546
M1 [Ante Natal Care Services ANC],1.2,Number of Pregnant women registered under JSY,TOTAL,11680,1975,449,640,795,474,1712,1046,237,709,938,2705
M1 [Ante Natal Care Services ANC],1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,236839,33457,10354,25025,19580,14373,34536,24949,10201,12894,11883,39587
M1 [Ante Natal Care Services ANC],1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,130531,14611,7111,11323,11839,9309,17073,14855,6951,10137,8826,18496
M1 [Ante Natal Care Services ANC],1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,113738,13588,6909,8471,10974,8538,14569,12234,6368,9025,8208,14854
M1 [Ante Natal Care Services ANC],1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,225598,21762,9262,25999,23030,12013,30759,23143,8997,10083,11578,48972
M1 [Ante Natal Care Services ANC],1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,8537,547,171,991,502,206,1222,588,641,192,1132,2345
M1 [Ante Natal Care Services ANC],1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,607,192,4,107,25,5,76,67,11,10,11,99
M1 [Ante Natal Care Services ANC],1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,127685,14652,6280,15951,12872,8414,23258,10462,3525,8146,10531,13594
M1 [Ante Natal Care Services ANC],1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,6666,345,168,714,508,151,1271,1158,148,135,915,1153
M1 [Ante Natal Care Services ANC],1.8,Number of pregnancy test kits used at SC level,TOTAL,10288,399,418,858,458,889,287,556,2937,2655,192,639
M2 [Deliveries],2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,533,0,82,4,2,0,14,0,175,226,0,30
M2 [Deliveries],2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,6216,432,227,175,1289,1040,583,237,538,533,368,794
M2 [Deliveries],2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,6749,432,309,179,1291,1040,597,237,713,759,368,824
M2 [Deliveries],2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,3376,305,178,102,650,349,124,189,354,379,209,537
M2 [Deliveries],2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,28,4,0,11,0,1,1,0,3,2,6,0
M2 [Deliveries],2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,85187,13695,3521,17790,3058,2491,13259,13987,2300,1597,4011,9478
M2 [Deliveries],2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,38807,6995,1957,12361,1182,1939,1194,2298,1393,934,2908,5646
M2 [Deliveries],2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,4194,607,226,351,591,50,767,351,117,125,536,473
M2 [Deliveries],2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,1507,306,222,198,1,12,25,29,127,81,396,110
M2 [Deliveries],2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M2 [Deliveries],2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,16889,3500,1360,80,363,77,2933,1288,1746,2032,810,2700
M2 [Deliveries],2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,0,0,0,0,NA,NA,0,0,0,0,0,0
M2 [Deliveries],2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,0,0,0,0,NA,NA,0,0,0,0,0,0
M2 [Deliveries],2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0,0,0,0,NA,NA,0,0,0,0,0,0
M3 [Number of Caesarean C-Section deliveries performed at],3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M3 [Number of Caesarean C-Section deliveries performed at],3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,13,0,NA,13,NA,0,0,NA,NA,0,NA,0
M3 [Number of Caesarean C-Section deliveries performed at],3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,19374,3445,679,4495,191,274,2979,3125,745,213,740,2488
M3 [Number of Caesarean C-Section deliveries performed at],3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M3 [Number of Caesarean C-Section deliveries performed at],3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,19387,3445,679,4508,191,274,2979,3125,745,213,740,2488
M3 [Number of Caesarean C-Section deliveries performed at],3.2,No. of C-section deliveries performed at Private facilities,TOTAL,10066,2131,889,40,115,50,1925,806,840,1075,492,1703
M4 [Pregnancy outcome & weight of new-born],4.1.1.a,Number of male live births,TOTAL,56994,9220,2739,9376,2413,1824,8780,8202,2555,2320,2780,6785
M4 [Pregnancy outcome & weight of new-born],4.1.1.b,Number of female live births,TOTAL,50929,8242,2386,8444,2259,1762,7876,7129,2226,2111,2388,6106
M4 [Pregnancy outcome & weight of new-born],4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,107923,17462,5125,17820,4672,3586,16656,15331,4781,4431,5168,12891
M4 [Pregnancy outcome & weight of new-born],4.1.2,Number of still births,TOTAL,2054,393,89,467,58,27,338,325,71,29,39,218
M4 [Pregnancy outcome & weight of new-born],4.1.3,Number of Abortions (spontaneous or induced),TOTAL,15991,2516,1565,1308,1000,260,2221,1528,1153,1066,802,2572
M4 [Pregnancy outcome & weight of new-born],4.2.1,Number of Newborns weighed at birth,TOTAL,103070,17145,5007,16914,4316,3085,16230,15250,4560,3902,5071,11590
M4 [Pregnancy outcome & weight of new-born],4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,22247,3929,1025,2495,745,644,3656,4752,787,431,839,2944
M4 [Pregnancy outcome & weight of new-born],4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,79948,12065,3034,14386,4060,2878,12047,12507,3525,2962,3912,8572
M5 [Complicated pregnanices],5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,6,0,0,0,0,NA,0,0,6,0,0,0
M5 [Complicated pregnanices],5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,281,0,6,0,9,83,18,99,NA,66,NA,0
M5 [Complicated pregnanices],5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,28738,6946,1505,3975,2651,129,2756,4695,1945,271,863,3002
M5 [Complicated pregnanices],5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M5 [Complicated pregnanices],5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,29025,6946,1511,3975,2660,212,2774,4794,1951,337,863,3002
M5 [Complicated pregnanices],5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,3590,636,102,0,152,47,380,546,703,707,138,179
M5 [Complicated pregnanices],5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,21892,5064,1605,2345,482,187,2639,3642,1381,992,861,2694
M5 [Complicated pregnanices],5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,2411,236,7,388,98,101,168,470,187,74,68,614
M5 [Complicated pregnanices],5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,20587,6657,1296,2064,607,194,2524,2260,1552,986,518,1929
M5 [Complicated pregnanices],5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,7080,653,699,1159,220,23,1266,1250,166,68,166,1410
M6 [Post - Natal Care],6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,93702,13706,4130,16675,4242,3225,15151,12800,4280,3829,4935,10729
M6 [Post - Natal Care],6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,67801,9326,2918,6182,3758,2780,10040,7941,1842,3424,6478,13112
M6 [Post - Natal Care],6.3,PNC maternal complications attended,TOTAL,2731,131,606,268,126,0,666,214,28,181,169,342
M7 [Medical Termination of Pregnancy (MTP)],7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,2869,521,35,375,106,34,525,275,277,137,130,454
M7 [Medical Termination of Pregnancy (MTP)],7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,413,50,5,114,4,0,33,74,105,0,5,23
