Indicator,S.No.,Parameters,Type,District - _Delhi,District - Central,District - East,District - New Delhi,District - North,District - North East,District - North West,District - Shahdara,District - South,District - South East,District - South West,District - West
M1 [Ante Natal Care Services ANC],1.1,Total number of pregnant women Registered for ANC,TOTAL,734513,87149,38144,75654,71234,39991,77833,113962,31657,45315,30063,123511
M1 [Ante Natal Care Services ANC],1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,230198,25966,10369,15488,17906,14459,30795,19185,11973,21826,14441,47790
M1 [Ante Natal Care Services ANC],1.2,Number of Pregnant women registered under JSY,TOTAL,20126,3661,836,1199,1624,952,2885,1375,364,1104,1480,4646
M1 [Ante Natal Care Services ANC],1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,425730,54090,19771,48423,36282,23812,60753,45620,18268,24319,21403,72989
M1 [Ante Natal Care Services ANC],1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,213226,23807,11770,17219,19631,14991,28261,24049,11516,16744,14628,30610
M1 [Ante Natal Care Services ANC],1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,192799,23466,12213,14590,18780,14082,24783,19019,10781,15628,13968,25489
M1 [Ante Natal Care Services ANC],1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,403138,37294,16963,50110,40798,20619,51879,42994,16351,17564,20536,88030
M1 [Ante Natal Care Services ANC],1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,15515,1020,821,2067,749,283,2071,1019,1027,364,2203,3891
M1 [Ante Natal Care Services ANC],1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,1159,297,17,219,44,12,127,141,50,19,11,222
M1 [Ante Natal Care Services ANC],1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,224139,24141,11108,26734,22999,12982,42598,20450,6343,14020,18841,23923
M1 [Ante Natal Care Services ANC],1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,12355,559,328,1404,935,204,2554,2209,279,229,1584,2070
M1 [Ante Natal Care Services ANC],1.8,Number of pregnancy test kits used at SC level,TOTAL,19694,811,771,1676,810,1474,585,1448,5482,5175,308,1154
M2 [Deliveries],2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,1055,0,152,10,9,0,70,0,369,404,5,36
M2 [Deliveries],2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,12023,747,489,335,2566,1891,1179,481,1104,961,731,1539
M2 [Deliveries],2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,13078,747,641,345,2575,1891,1249,481,1473,1365,736,1575
M2 [Deliveries],2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,6583,527,401,206,1268,686,355,370,620,720,426,1004
M2 [Deliveries],2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,46,10,0,19,0,1,1,0,5,2,8,0
M2 [Deliveries],2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,162907,26633,6789,33688,5924,4511,25275,27052,4207,2930,7978,17920
M2 [Deliveries],2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,76202,15245,3689,23603,2287,3339,2960,4597,2613,1644,6039,10186
M2 [Deliveries],2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,8223,1472,419,665,1270,157,1372,555,304,159,922,928
M2 [Deliveries],2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,2615,625,371,444,1,34,74,54,199,93,597,123
M2 [Deliveries],2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M2 [Deliveries],2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,32898,6892,2593,137,689,156,5683,2473,3428,4014,1487,5346
M2 [Deliveries],2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,0,0,0,0,NA,NA,0,0,0,0,0,0
M2 [Deliveries],2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,0,0,0,0,NA,NA,0,0,0,0,0,0
M2 [Deliveries],2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0,0,0,0,NA,NA,0,0,0,0,0,0
M3 [Number of Caesarean C-Section deliveries performed at],3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M3 [Number of Caesarean C-Section deliveries performed at],3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,22,0,NA,22,NA,0,0,0,NA,0,NA,0
M3 [Number of Caesarean C-Section deliveries performed at],3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,37286,6531,1313,8776,376,436,5718,6540,1332,353,1363,4548
M3 [Number of Caesarean C-Section deliveries performed at],3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M3 [Number of Caesarean C-Section deliveries performed at],3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,37308,6531,1313,8798,376,436,5718,6540,1332,353,1363,4548
M3 [Number of Caesarean C-Section deliveries performed at],3.2,No. of C-section deliveries performed at Private facilities,TOTAL,19498,4140,1691,75,245,107,3707,1559,1612,2087,909,3366
M4 [Pregnancy outcome & weight of new-born],4.1.1.a,Number of male live births,TOTAL,108814,17899,5206,17697,4704,3312,16747,15736,4845,4380,5381,12907
M4 [Pregnancy outcome & weight of new-born],4.1.1.b,Number of female live births,TOTAL,98344,16082,4711,16019,4425,3221,15170,13873,4305,4002,4757,11779
M4 [Pregnancy outcome & weight of new-born],4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,207158,33981,9917,33716,9129,6533,31917,29609,9150,8382,10138,24686
M4 [Pregnancy outcome & weight of new-born],4.1.2,Number of still births,TOTAL,4053,755,153,888,105,41,670,725,117,69,92,438
M4 [Pregnancy outcome & weight of new-born],4.1.3,Number of Abortions (spontaneous or induced),TOTAL,27300,4192,2767,2138,1608,382,4115,2775,1931,1755,1293,4344
M4 [Pregnancy outcome & weight of new-born],4.2.1,Number of Newborns weighed at birth,TOTAL,197996,32551,9646,32274,8346,5630,31152,29465,8721,7570,9943,22698
M4 [Pregnancy outcome & weight of new-born],4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,43308,7739,1902,4992,1641,1085,7073,9226,1383,910,1626,5731
