Indicator,S.No.,Parameters,Type,District - _Delhi,District - Central,District - East,District - New Delhi,District - North,District - North East,District - North West,District - Shahdara,District - South,District - South East,District - South West,District - West
M1 [Ante Natal Care Services ANC],1.1,Total number of pregnant women Registered for ANC,TOTAL,903265,107896,47879,90748,83882,50143,95544,140693,38237,57871,37679,152693
M1 [Ante Natal Care Services ANC],1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,292740,33445,13331,19228,22841,18252,39878,23641,15201,28265,18706,59952
M1 [Ante Natal Care Services ANC],1.2,Number of Pregnant women registered under JSY,TOTAL,25495,4873,1070,1470,2129,1278,3682,1501,508,1362,1754,5868
M1 [Ante Natal Care Services ANC],1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,514257,64536,23380,59482,43360,28694,73842,53147,22707,30077,25805,89227
M1 [Ante Natal Care Services ANC],1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,258901,28631,14404,20352,24113,18247,34475,28635,13968,20865,17772,37439
M1 [Ante Natal Care Services ANC],1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,228910,27663,14594,17418,22083,16938,29617,22251,12673,18891,16698,30084
M1 [Ante Natal Care Services ANC],1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,478108,44158,20303,61548,48695,24639,62157,50270,19835,21831,24925,99747
M1 [Ante Natal Care Services ANC],1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,19639,1200,1230,2591,832,383,2983,1262,1334,539,2681,4604
M1 [Ante Natal Care Services ANC],1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,1387,335,19,250,47,33,148,174,68,21,14,278
M1 [Ante Natal Care Services ANC],1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,270153,28739,12987,32349,28647,15154,51102,24409,7552,17827,22933,28454
M1 [Ante Natal Care Services ANC],1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,14374,656,396,1725,1120,228,2950,2562,335,252,1789,2361
M1 [Ante Natal Care Services ANC],1.8,Number of pregnancy test kits used at SC level,TOTAL,25403,1137,922,2171,1035,1898,822,2285,6717,6381,381,1654
M2 [Deliveries],2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,1179,0,167,10,9,0,70,0,429,450,8,36
M2 [Deliveries],2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,14338,887,607,412,3011,2207,1437,558,1311,1137,902,1869
M2 [Deliveries],2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,15517,887,774,422,3020,2207,1507,558,1740,1587,910,1905
M2 [Deliveries],2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,7925,633,495,249,1493,856,449,443,732,870,515,1190
M2 [Deliveries],2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,51,10,0,24,0,1,1,0,5,2,8,0
