Indicator,S.No.,Parameters,Type,District - _Delhi,District - Central,District - East,District - New Delhi,District - North,District - North East,District - North West,District - Shahdara,District - South,District - South East,District - South West,District - West
M1 [Ante Natal Care Services ANC],1.1,Total number of pregnant women Registered for ANC,TOTAL,817556,97269,43056,82191,79271,44879,86251,127474,34621,51379,33618,137547
M1 [Ante Natal Care Services ANC],1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,259854,29535,11654,17243,20427,16112,35210,21040,13529,24998,16443,53663
M1 [Ante Natal Care Services ANC],1.2,Number of Pregnant women registered under JSY,TOTAL,22752,4270,930,1344,1897,1167,3263,1450,425,1213,1597,5196
M1 [Ante Natal Care Services ANC],1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,469394,59378,21663,53121,39944,26182,67493,49116,20569,27044,23649,81235
M1 [Ante Natal Care Services ANC],1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,233745,26047,12914,18720,21820,16452,30980,26001,12614,18519,16035,33643
M1 [Ante Natal Care Services ANC],1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,209774,25493,13299,16085,20324,15409,27053,20360,11676,17099,15300,27676
M1 [Ante Natal Care Services ANC],1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,440438,41340,18677,55283,45106,22255,57008,46323,18019,19760,22750,93917
M1 [Ante Natal Care Services ANC],1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,17590,1106,1042,2318,784,329,2497,1155,1208,464,2468,4219
M1 [Ante Natal Care Services ANC],1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,1300,313,19,239,45,32,141,169,61,20,13,248
M1 [Ante Natal Care Services ANC],1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,245728,26586,11948,29380,25847,13921,47003,21951,6918,15714,20497,25963
M1 [Ante Natal Care Services ANC],1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,13459,604,369,1582,1040,218,2735,2464,307,243,1685,2212
M1 [Ante Natal Care Services ANC],1.8,Number of pregnancy test kits used at SC level,TOTAL,22388,961,821,1927,997,1662,661,1835,6060,5713,358,1393
M2 [Deliveries],2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,1126,0,165,10,9,0,70,0,403,426,7,36
M2 [Deliveries],2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,13275,817,551,389,2796,2076,1308,524,1211,1051,831,1721
