Indicator,S.No.,Parameters,Type,District - _Delhi,District - Central,District - East,District - New Delhi,District - North,District - North East,District - North West,District - Shahdara,District - South,District - South East,District - South West,District - West
M1 [Ante Natal Care Services ANC],1.1,Total number of pregnant women Registered for ANC,TOTAL,249192,31740,13199,22891,24330,15031,27736,34564,11549,14489,10923,42740
M1 [Ante Natal Care Services ANC],1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,86737,11003,3695,5298,6634,5521,10812,8195,4525,6975,5465,18614
M1 [Ante Natal Care Services ANC],1.2,Number of Pregnant women registered under JSY,TOTAL,7232,1164,284,434,411,292,1052,897,166,481,588,1463
M1 [Ante Natal Care Services ANC],1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,134158,20011,5795,13399,11252,9088,19729,13515,6073,7031,6850,21415
M1 [Ante Natal Care Services ANC],1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,81587,8822,4537,7723,7546,5836,10692,8944,4460,6209,5444,11374
M1 [Ante Natal Care Services ANC],1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,70241,7721,4213,4969,6903,5314,9223,8413,4000,5458,4986,9041
M1 [Ante Natal Care Services ANC],1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,130907,14016,5286,14600,12841,7387,17790,12283,5534,5868,6887,28415
M1 [Ante Natal Care Services ANC],1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,5306,299,121,571,286,148,790,318,460,116,721,1476
M1 [Ante Natal Care Services ANC],1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,291,105,2,55,11,4,29,15,7,4,6,53
M1 [Ante Natal Care Services ANC],1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,77984,8507,3711,10066,7101,5288,15528,6274,2253,4908,6311,8037
M1 [Ante Natal Care Services ANC],1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,3761,199,95,366,295,93,717,492,80,87,611,726
M1 [Ante Natal Care Services ANC],1.8,Number of pregnancy test kits used at SC level,TOTAL,6051,261,249,567,314,626,183,243,1807,1408,84,309
M2 [Deliveries],2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,274,0,45,3,0,0,7,0,94,117,0,8
M2 [Deliveries],2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,3441,207,138,94,693,588,348,140,299,275,198,461
M2 [Deliveries],2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,3715,207,183,97,693,588,355,140,393,392,198,469
M2 [Deliveries],2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,1914,164,100,64,368,218,59,110,212,179,119,321
