Indicator,S.No.,Parameters,Type,District - _Delhi,District - Central,District - East,District - New Delhi,District - North,District - North East,District - North West,District - Shahdara,District - South,District - South East,District - South West,District - West
M1 [Ante Natal Care Services ANC],1.1,Total number of pregnant women Registered for ANC,TOTAL,993842,119217,53141,100491,89650,55698,104621,154592,42199,64444,41679,168110
M1 [Ante Natal Care Services ANC],1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,325393,37499,15051,21279,25028,20410,44360,26091,16834,31841,20925,66075
M1 [Ante Natal Care Services ANC],1.2,Number of Pregnant women registered under JSY,TOTAL,28126,5468,1254,1595,2341,1391,4074,1567,597,1461,1882,6496
M1 [Ante Natal Care Services ANC],1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,563171,69713,25237,66570,47510,31174,80863,57542,25260,33493,28160,97649
M1 [Ante Natal Care Services ANC],1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,287858,31841,16079,22318,26819,20234,38239,32360,15485,23168,19794,41521
M1 [Ante Natal Care Services ANC],1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,252056,30227,16090,19152,24132,18588,32677,25046,13926,20666,18440,33112
M1 [Ante Natal Care Services ANC],1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,524760,47307,22138,68933,53404,26889,68443,54214,21918,24026,27060,110428
M1 [Ante Natal Care Services ANC],1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,21484,1317,1426,2794,879,430,3375,1381,1466,595,2976,4845
M1 [Ante Natal Care Services ANC],1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,1509,383,21,272,49,33,162,185,82,21,15,286
M1 [Ante Natal Care Services ANC],1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,296771,30791,14178,35564,31240,16588,54961,29134,8266,19637,25231,31181
M1 [Ante Natal Care Services ANC],1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,15482,788,418,1860,1224,258,3121,2768,361,283,1902,2499
M1 [Ante Natal Care Services ANC],1.8,Number of pregnancy test kits used at SC level,TOTAL,28412,1308,986,2446,1121,2223,975,2701,7301,7044,423,1884
M2 [Deliveries],2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,1234,0,167,10,9,0,70,0,451,481,8,38
M2 [Deliveries],2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,15263,948,655,446,3180,2306,1583,591,1387,1215,972,1980
M2 [Deliveries],2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,16497,948,822,456,3189,2306,1653,591,1838,1696,980,2018
M2 [Deliveries],2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,8457,685,532,271,1595,903,481,474,772,935,540,1269
M2 [Deliveries],2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,62,11,0,30,0,1,1,0,8,2,9,0
M2 [Deliveries],2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,211930,34641,8784,43963,7687,5703,32906,35255,5456,3761,10353,23421
M2 [Deliveries],2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,99065,20784,4745,31098,3020,3967,3049,5740,3401,2082,7891,13288
M2 [Deliveries],2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,12526,2157,657,1000,2229,364,2424,603,416,201,1193,1282
M2 [Deliveries],2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,3580,907,579,620,2,53,85,77,279,111,744,123
M2 [Deliveries],2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M2 [Deliveries],2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,43087,9067,3406,198,893,211,7467,3238,4444,5326,1876,6961
M2 [Deliveries],2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,12,0,0,0,NA,NA,12,0,0,0,0,0
M2 [Deliveries],2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,0,0,0,0,NA,NA,0,0,0,0,0,0
M2 [Deliveries],2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0,0,0,0,NA,NA,0,0,0,0,0,0
M3 [Number of Caesarean C-Section deliveries performed at],3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M3 [Number of Caesarean C-Section deliveries performed at],3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,29,0,NA,29,NA,0,0,0,NA,0,NA,0
M3 [Number of Caesarean C-Section deliveries performed at],3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,50014,8565,1733,11725,481,563,7458,9469,1717,505,1751,6047
M3 [Number of Caesarean C-Section deliveries performed at],3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M3 [Number of Caesarean C-Section deliveries performed at],3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,50043,8565,1733,11754,481,563,7458,9469,1717,505,1751,6047
M3 [Number of Caesarean C-Section deliveries performed at],3.2,No. of C-section deliveries performed at Private facilities,TOTAL,25482,5365,2228,109,336,141,4897,2039,2105,2768,1142,4352
M4 [Pregnancy outcome & weight of new-born],4.1.1.a,Number of male live births,TOTAL,141169,23230,6788,22994,6055,4182,21799,20335,6208,5765,7003,16810
M4 [Pregnancy outcome & weight of new-born],4.1.1.b,Number of female live births,TOTAL,128197,21076,6111,21031,5628,4013,19868,18237,5581,5136,6131,15385
M4 [Pregnancy outcome & weight of new-born],4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,269366,44306,12899,44025,11683,8195,41667,38572,11789,10901,13134,32195
M4 [Pregnancy outcome & weight of new-born],4.1.2,Number of still births,TOTAL,5111,942,175,1131,144,50,836,918,143,87,112,573
M4 [Pregnancy outcome & weight of new-born],4.1.3,Number of Abortions (spontaneous or induced),TOTAL,38114,5814,3978,2894,2138,437,6100,4040,2595,2495,1745,5878
M4 [Pregnancy outcome & weight of new-born],4.2.1,Number of Newborns weighed at birth,TOTAL,258597,42725,12576,42534,10720,7099,40652,38405,11250,9931,12893,29812
M4 [Pregnancy outcome & weight of new-born],4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,55758,9936,2417,6360,2123,1279,9103,11791,1820,1185,2051,7693
M4 [Pregnancy outcome & weight of new-born],4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,198179,29923,8165,35725,10423,6596,29065,30974,8794,7230,10433,20851
M5 [Complicated pregnanices],5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,6,0,0,0,0,0,0,0,6,0,0,0
M5 [Complicated pregnanices],5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,894,0,6,0,10,456,44,242,NA,135,NA,1
M5 [Complicated pregnanices],5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,74434,18554,4458,9545,5977,310,7140,13106,4415,645,2261,8023
M5 [Complicated pregnanices],5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M5 [Complicated pregnanices],5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,75334,18554,4464,9545,5987,766,7184,13348,4421,780,2261,8024
M5 [Complicated pregnanices],5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,9303,1369,275,0,388,134,1155,1096,1825,2117,401,543
M5 [Complicated pregnanices],5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,56846,12054,4721,6690,1039,456,7414,9403,3081,2795,2083,7110
M5 [Complicated pregnanices],5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,5565,482,28,1027,172,248,345,1377,324,156,179,1227
M5 [Complicated pregnanices],5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,53734,18286,3621,5067,1561,559,6310,5001,3542,2793,1372,5622
M5 [Complicated pregnanices],5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,16870,2072,1551,2733,504,77,2438,3124,330,175,374,3492
M6 [Post - Natal Care],6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,234942,35351,10371,43021,10617,7299,35533,33013,10340,9644,12741,27012
M6 [Post - Natal Care],6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,168874,22137,7142,15870,8676,6725,22950,21741,4134,8710,16706,34083
M6 [Post - Natal Care],6.3,PNC maternal complications attended,TOTAL,6263,657,1486,784,303,1,1289,263,69,307,428,676
M7 [Medical Termination of Pregnancy (MTP)],7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,6754,1210,85,964,249,42,1196,605,645,387,303,1068
M7 [Medical Termination of Pregnancy (MTP)],7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,872,104,13,202,7,0,80,153,235,0,14,64
M7 [Medical Termination of Pregnancy (MTP)],7.1.3,Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2),TOTAL,7626,1314,98,1166,256,42,1276,758,880,387,317,1132
M7 [Medical Termination of Pregnancy (MTP)],7.2,Number of MTPs conducted at Private Facilities,TOTAL,13630,2068,2678,79,432,24,2006,1185,898,1617,720,1923
M8 [RTI/STI Cases],8.1.a,Number of new cases of RTI/STI in males for which treatment was initiated,TOTAL,36523,5671,1969,7213,2273,1384,2418,1269,2601,2943,3171,5611
M8 [RTI/STI Cases],8.1.b,Number of new cases of RTI/STI in females for which treatment was initiated,TOTAL,185417,22197,11564,25107,12077,13240,17854,10645,6467,9931,9847,46488
M8 [RTI/STI Cases],8.1.c,Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b),TOTAL,221940,27868,13533,32320,14350,14624,20272,11914,9068,12874,13018,52099
M8 [RTI/STI Cases],8.2,Number of suspected RTI/STI cases for whom wet mount test was conducted,TOTAL,919,0,22,0,2,212,6,0,68,32,16,561
M9 [Family Planning],9.1.1.a,Number of NSV (No Scalpel Vasectomy) or Conventional Vasectomy conducted at PHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.1.1.b,Number of NSV or Conventional Vasectomy conducted at CHCs,TOTAL,0,0,NA,0,0,0,0,0,NA,0,NA,0
M9 [Family Planning],9.1.1.c,Number of NSV or Conventional Vasectomy conducted at SDHs or DHs,TOTAL,1293,829,20,118,8,10,45,25,15,3,155,65
M9 [Family Planning],9.1.1.d,Number of NSV or Conventional Vasectomy conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.1.1.e,"Total Number of NSV or Conventional Vasectomy conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.1.1.a to 9.1.1.d)",TOTAL,1293,829,20,118,8,10,45,25,15,3,155,65
M9 [Family Planning],9.1.2,Number of NSV or Conventional Vasectomy conducted at Private facilities,TOTAL,30,27,1,0,0,NA,1,0,1,0,0,0
M9 [Family Planning],9.2.1.a,Number of Laparoscopic sterilizations conducted at PHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.2.1.b,Number of Laparoscopic sterilizations conducted at CHCs,TOTAL,5,0,NA,0,1,0,0,0,NA,4,NA,0
M9 [Family Planning],9.2.1.c,Number of Laparoscopic sterilizations conducted at SDHs or DHs,TOTAL,6896,2140,33,1111,72,14,947,441,679,91,288,1080
M9 [Family Planning],9.2.1.d,Number of Laparoscopic sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.2.1.e,"Total Number of Laparoscopic sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.2.1.a to 9.2.1.d)",TOTAL,6901,2140,33,1111,73,14,947,441,679,95,288,1080
M9 [Family Planning],9.2.2,Number of Laparoscopic sterilizations conducted at Private facilities,TOTAL,3087,57,42,301,15,NA,1535,780,24,287,7,39
M9 [Family Planning],9.3.1.a,Number of Mini-lap sterilizations conducted at PHCs,TOTAL,4,4,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.3.1.b,Number of Mini-lap sterilizations conducted at CHCs,TOTAL,2,0,NA,2,NA,0,0,0,NA,0,NA,0
M9 [Family Planning],9.3.1.c,Number of Mini-lap sterilizations conducted at SDHs or DHs,TOTAL,1892,222,136,961,53,3,152,131,40,6,94,94
M9 [Family Planning],9.3.1.d,Number of Mini-lap sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.3.1.e,"Total Number of Mini-lap sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.3.1.a to 9.3.1.d)",TOTAL,1898,226,136,963,53,3,152,131,40,6,94,94
M9 [Family Planning],9.3.2,Number of Mini-lap sterilizations conducted at Private facilities,TOTAL,347,25,11,0,3,NA,199,0,17,64,0,28
M9 [Family Planning],9.4.1.a,Number of Post-Partum sterilizations conducted at PHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.4.1.b,Number of Post-Partum sterilizations conducted at CHCs,TOTAL,15,0,NA,15,NA,0,0,0,NA,0,NA,0
M9 [Family Planning],9.4.1.c,Number of Post-Partum sterilizations conducted at SDHs or DHs,TOTAL,4791,599,2,820,39,46,1274,967,168,53,113,710
M9 [Family Planning],9.4.1.d,Number of Post-Partum sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.4.1.e,"Total Number of Post-Partum sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.4.1.a to 9.4.1.d)",TOTAL,4806,599,2,835,39,46,1274,967,168,53,113,710
M9 [Family Planning],9.4.2,Number of Post-Partum sterilizations conducted at Private facilities,TOTAL,351,93,10,0,17,NA,33,4,13,71,7,103
M9 [Family Planning],9.5.1.a,Number of IUCD Insertions conducted at SCs,TOTAL,13,13,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.5.1.b,Number of IUCD Insertions conducted at PHCs,TOTAL,22551,3382,1493,1114,1477,1898,2351,1381,1984,2124,2168,3179
M9 [Family Planning],9.5.1.c,Number of IUCD Insertions conducted at CHCs,TOTAL,7806,958,694,445,528,1029,699,734,NA,844,153,1722
M9 [Family Planning],9.5.1.d,Number of IUCD Insertions conducted at SDHs or DHs,TOTAL,50006,7942,2347,8077,4028,1121,9117,6311,1892,1147,1564,6460
M9 [Family Planning],9.5.1.e,Number of IUCD Insertions conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.5.1.f,"Total Number of IUCD Insertions conducted at Public facilities i.e. SC, PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.5.1.a to 9.5.1.e)",TOTAL,80376,12295,4534,9636,6033,4048,12167,8426,3876,4115,3885,11361
M9 [Family Planning],9.5.1A,"Out of above total, Post Partum (within 48 hours of delivery) IUCD insertions",TOTAL,43669,6953,2369,7015,3369,1397,7505,5469,1081,1072,1088,6351
M9 [Family Planning],9.5.2,Number of IUCD Insertions conducted at Private facilities,TOTAL,3876,569,224,177,235,52,593,460,257,600,161,548
M9 [Family Planning],9.06,Number of IUCD removals,TOTAL,13602,1705,929,1209,969,847,1784,1029,963,1103,1094,1970
M9 [Family Planning],9.07,Number of Oral Pills cycles distributed,TOTAL,199092,20464,13764,14491,18898,13629,22959,19707,13151,24136,14849,23044
M9 [Family Planning],9.08,Number of Condom pieces distributed,TOTAL,6879685,825826,229251,505713,706434,358426,1150211,346626,650470,802091,548889,755748
M9 [Family Planning],9.09,Number of Centchroman (weekly) pills given,TOTAL,328,63,0,0,7,80,0,0,55,104,8,11
M9 [Family Planning],9.1,Number of Emergency Contraceptive Pills distributed,TOTAL,17691,1286,1529,1097,1849,1999,2285,1122,1853,1214,1377,2080
M9 [Family Planning],9.11.1.a,Number of cases of complications following male sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.11.1.b,Number of cases of complications following female sterilization,TOTAL,17,1,0,0,0,0,0,12,0,0,2,2
M9 [Family Planning],9.11.2.a,Number of failures following male sterilization,TOTAL,1,0,0,0,0,0,0,0,0,0,0,1
M9 [Family Planning],9.11.2.b,Number of failures following female sterilization,TOTAL,46,15,0,6,2,0,7,10,1,0,0,5
M9 [Family Planning],9.11.3.a,Number of deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.11.3.b,Number of deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.12,Number of Institutions having NSV trained doctors,TOTAL,635,70,59,76,32,9,147,81,58,24,31,48
M10 [CHILD IMMUNIZATION],10.1.01,Number of Infants (0 to 11 months old)received BCG immunisation,TOTAL,304598,41441,15915,48224,18204,13414,43700,41055,13223,16356,15365,37701
M10 [CHILD IMMUNIZATION],10.1.02,Number of Infants (0 to 11 months old) received DPT1 immunisation,TOTAL,17015,2237,991,252,685,797,2374,1536,1767,2954,395,3027
M10 [CHILD IMMUNIZATION],10.1.03,Number of Infants (0 to 11 months old) received DPT2 immunisation,TOTAL,14115,2065,834,223,591,747,1701,965,1395,2609,379,2606
M10 [CHILD IMMUNIZATION],10.1.04,Number of Infants (0 to 11 months old) received DPT3 immunisation,TOTAL,13171,2055,737,211,584,649,1674,923,989,2489,330,2530
M10 [CHILD IMMUNIZATION],10.1.04A,Number of Infants (0 to 11 months old) received Pentavalent1 immunisation,TOTAL,295876,29587,19414,17195,28752,28572,38269,26425,17610,27833,22926,39293
M10 [CHILD IMMUNIZATION],10.1.04B,Number of Infants (0 to 11 months old) received Pentavalent2 immunisation,TOTAL,289911,28041,19950,15207,28971,28083,37949,24167,17719,28429,22717,38678
M10 [CHILD IMMUNIZATION],10.1.04C,Number of Infants (0 to 11 months old) received Pentavalent3 immunisation,TOTAL,284421,27302,19246,14861,28636,26661,37219,23434,17857,28014,22551,38640
M10 [CHILD IMMUNIZATION],10.1.05,Number of Infants (0 to 11 months old) received OPV 0 (Birth Dose),TOTAL,241194,36618,12257,42992,9361,7039,35810,37086,10198,8386,12055,29392
M10 [CHILD IMMUNIZATION],10.1.06,Number of Infants (0 to 11 months old) received OPV1 (First Dose),TOTAL,306118,31766,20496,17184,28969,28967,39350,27100,16597,30390,23188,42111
M10 [CHILD IMMUNIZATION],10.1.07,Number of Infants (0 to 11 months old) received OPV2 (Second Dose),TOTAL,298659,30072,20674,15189,29115,28527,38497,24678,17098,30560,23107,41142
M10 [CHILD IMMUNIZATION],10.1.08,Number of Infants (0 to 11 months old) received OPV3 (Third Dose),TOTAL,292750,29286,19982,14834,28642,26915,37772,23786,17262,30336,22889,41046
M10 [CHILD IMMUNIZATION],10.1.09A,Number of Infants (upto 48 hrs of age) received Hepatitis-B0 immunisation,TOTAL,226530,32433,11909,42823,8648,6140,34588,35596,9254,7721,11764,25654
M10 [CHILD IMMUNIZATION],10.1.09,Number of Infants (0 to 11 months old) received Hepatitis-B1 immunisation,TOTAL,17432,2726,1466,119,238,1105,2486,1717,1017,2552,433,3573
M10 [CHILD IMMUNIZATION],10.1.10,Number of Infants (0 to 11 months old) received Hepatitis-B2 immunisation,TOTAL,12163,1906,1157,149,197,493,1753,1060,1026,2159,323,1940
M10 [CHILD IMMUNIZATION],10.1.11,Number of Infants (0 to 11 months old) received Hepatitis-B3 immunisation,TOTAL,10811,2083,844,180,303,453,1376,909,956,1711,334,1662
M10 [CHILD IMMUNIZATION],10.1.12,Number of Infants (0 to 11 months old) received Measles immunisation (First Dose),TOTAL,312133,30557,21644,15863,31011,28600,40366,24915,19720,32416,24313,42728
M10 [CHILD IMMUNIZATION],10.1.12B,Number of Infants (more than 16 months old) received Measles immunisation (Second Dose),TOTAL,87726,8244,7089,3839,6027,8662,14255,5931,4456,10063,4632,14528
M10 [CHILD IMMUNIZATION],10.1A,No. of Children aged 9 to 12 months who received JE 1st dose,TOTAL,11,0,0,0,10,0,0,0,1,0,0,0
M10 [CHILD IMMUNIZATION],10.1.13.a,Total number of male children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,160648,15480,11196,8294,16243,14682,21157,12497,9504,15942,12971,22682
M10 [CHILD IMMUNIZATION],10.1.13.b,Total number of female children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,139477,13534,9777,7009,14053,12993,18390,11004,8413,13832,10943,19529
M10 [CHILD IMMUNIZATION],10.1.13.c,Total number of children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month (sum of items 10.1.13.a and 10.1.13.b),TOTAL,300125,29014,20973,15303,30296,27675,39547,23501,17917,29774,23914,42211
M10 [CHILD IMMUNIZATION],10.2.1,Number of Infants (more than 16 months old) received DPT Booster dose,TOTAL,311736,30371,22140,15769,30582,28460,40180,24198,19858,30986,24952,44240
M10 [CHILD IMMUNIZATION],10.2.2,Number of Infants (more than 16 months old) received OPV Booster dose,TOTAL,310757,30305,21971,15762,30401,28295,39807,24453,20217,30895,24945,43706
M10 [CHILD IMMUNIZATION],10.2.3,"Number of Infants (more than 16 months old) received Measles, Mumps, Rubella (MMR) Vaccination",TOTAL,228613,23196,15366,12128,23422,19095,26855,19592,16285,24362,19551,28761
M10 [CHILD IMMUNIZATION],10.3.1.a,Total number of male children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,44792,5055,1598,2120,4543,5678,7024,4252,1703,1740,3022,8057
M10 [CHILD IMMUNIZATION],10.3.1.b,Total number of female children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,38010,4277,1388,1459,3656,5262,6183,3495,1516,1527,2506,6741
M10 [CHILD IMMUNIZATION],10.3.1.c,Total number of children (12 to 23 months old) fully immunised (BCG+DPT123+OPV123/Pentavalent123+Measles) during the month (sum of items 10.3.1.a and 10.3.1.b),TOTAL,82802,9332,2986,3579,8199,10940,13207,7747,3219,3267,5528,14798
M10 [CHILD IMMUNIZATION],10.3.2,Number of children (more than 5 years old) given DT5,TOTAL,159075,17395,12025,9035,13366,12017,19641,11732,10775,15790,14073,23226
M10 [CHILD IMMUNIZATION],10.3.3,Number of children (more than 10 years old) given TT10,TOTAL,43748,5343,3705,3872,2821,3164,4469,3056,3548,4993,3765,5012
M10 [CHILD IMMUNIZATION],10.3.4,Number of children (more than 16 years old) given TT16,TOTAL,27006,4284,2078,2237,2539,1593,3154,2603,1776,2443,2294,2005
M10 [CHILD IMMUNIZATION],10.3.5.a,Number of cases of Abscess reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,11,0,7,0,0,0,4,0,0,0,0,0
