Indicator,S.No.,Parameters,Type,District - _Delhi,District - Central,District - East,District - New Delhi,District - North,District - North East,District - North West,District - Shahdara,District - South,District - South East,District - South West,District - West
M1 [Ante Natal Care Services ANC],1.1,Total number of pregnant women Registered for ANC,TOTAL,164000,21447,8914,14572,16635,10485,18432,21348,7309,9519,7249,28090
M1 [Ante Natal Care Services ANC],1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,59082,7644,2524,3416,4299,3797,7358,5692,2946,4562,3700,13144
M1 [Ante Natal Care Services ANC],1.2,Number of Pregnant women registered under JSY,TOTAL,4972,764,181,296,254,211,641,824,119,367,407,908
M1 [Ante Natal Care Services ANC],1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,87088,14357,3706,8552,7101,6223,12335,8752,4163,4199,4430,13270
M1 [Ante Natal Care Services ANC],1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,55479,6056,3103,5782,5154,3969,7002,6087,2985,4039,3709,7593
M1 [Ante Natal Care Services ANC],1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,43438,5177,2733,3262,4548,3496,5820,3226,2610,3499,3236,5831
M1 [Ante Natal Care Services ANC],1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,85940,10355,3457,8884,8218,5120,10928,7876,3720,4028,4441,18913
M1 [Ante Natal Care Services ANC],1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,3551,205,88,288,212,116,526,200,380,72,471,993
M1 [Ante Natal Care Services ANC],1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,177,81,2,33,10,2,10,0,5,4,3,27
M1 [Ante Natal Care Services ANC],1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,51673,4980,2536,6644,4599,3550,10788,4453,1436,3380,4010,5297
M1 [Ante Natal Care Services ANC],1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,2308,124,71,234,205,52,429,247,55,66,369,456
M1 [Ante Natal Care Services ANC],1.8,Number of pregnancy test kits used at SC level,TOTAL,3988,185,169,388,218,299,150,190,1214,941,50,184
M2 [Deliveries],2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,182,0,30,2,0,0,5,0,68,77,0,0
M2 [Deliveries],2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,2270,141,85,61,463,396,214,97,195,185,123,310
M2 [Deliveries],2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,2452,141,115,63,463,396,219,97,263,262,123,310
