Indicator,S.No.,Parameters,Type,District - _Delhi,District - Central,District - East,District - New Delhi,District - North,District - North East,District - North West,District - Shahdara,District - South,District - South East,District - South West,District - West
M1 [Ante Natal Care Services ANC],1.1,Total number of pregnant women Registered for ANC,TOTAL,576307,67954,30019,60452,55813,31854,61233,87437,25051,34609,23478,98407
M1 [Ante Natal Care Services ANC],1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,179876,20228,8087,11900,14148,11688,23238,15517,9381,16740,11267,37682
M1 [Ante Natal Care Services ANC],1.2,Number of Pregnant women registered under JSY,TOTAL,15951,2722,642,941,1200,755,2341,1210,308,890,1202,3740
M1 [Ante Natal Care Services ANC],1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,334599,43683,15169,38266,28127,19212,47632,35778,14251,18595,16841,57045
M1 [Ante Natal Care Services ANC],1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,173491,19039,9497,14399,15808,12368,22709,19796,9400,13645,11878,24952
M1 [Ante Natal Care Services ANC],1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,155882,18518,9693,11785,15210,11659,19924,15729,8882,12652,11166,20664
M1 [Ante Natal Care Services ANC],1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,317128,29476,13280,40126,31653,16457,41201,33501,12722,13918,15952,68842
M1 [Ante Natal Care Services ANC],1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,11392,751,337,1482,614,229,1491,780,791,269,1595,3053
M1 [Ante Natal Care Services ANC],1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,891,261,9,177,40,8,106,101,21,16,11,141
M1 [Ante Natal Care Services ANC],1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,175170,19016,8736,20746,18045,10703,33103,14681,4968,11079,15120,18973
M1 [Ante Natal Care Services ANC],1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,9750,456,237,1024,735,182,2022,1745,210,197,1342,1600
M1 [Ante Natal Care Services ANC],1.8,Number of pregnancy test kits used at SC level,TOTAL,15048,551,564,1278,697,1147,389,945,4357,4023,252,845
M2 [Deliveries],2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,830,0,121,6,5,0,42,0,273,344,3,36
M2 [Deliveries],2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,9266,603,360,258,2015,1467,877,382,835,733,542,1194
