Indicator,S.No.,Parameters,Type,District - _Delhi,District - Central,District - East,District - New Delhi,District - North,District - North East,District - North West,District - Shahdara,District - South,District - South East,District - South West,District - West
M1 [Ante Natal Care Services ANC],1.1,Total number of pregnant women Registered for ANC,TOTAL,502919,60905,26467,50304,48959,27894,54217,74649,22113,29919,20713,86779
M1 [Ante Natal Care Services ANC],1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,159340,18266,7136,10367,12641,10443,20270,13939,8341,14506,9979,33452
M1 [Ante Natal Care Services ANC],1.2,Number of Pregnant women registered under JSY,TOTAL,13968,2390,536,792,1007,614,2036,1129,284,796,1075,3309
M1 [Ante Natal Care Services ANC],1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,287975,38625,12864,31770,24036,16824,41506,30716,12331,15770,14500,49033
M1 [Ante Natal Care Services ANC],1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,154340,17108,8474,13092,14079,10963,20257,17442,8343,12068,10464,22050
M1 [Ante Natal Care Services ANC],1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,136129,16172,8379,10301,13298,10162,17421,14189,7730,10938,9685,17854
M1 [Ante Natal Care Services ANC],1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,273056,25805,11353,33281,27306,14323,36117,28704,10968,11727,13854,59618
M1 [Ante Natal Care Services ANC],1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,9907,652,198,1182,561,219,1366,725,701,227,1361,2715
M1 [Ante Natal Care Services ANC],1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,742,219,6,137,34,6,88,81,16,11,11,133
M1 [Ante Natal Care Services ANC],1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,153643,17445,7604,18531,15611,9757,28241,12954,4231,9729,13232,16308
M1 [Ante Natal Care Services ANC],1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,8370,398,196,883,636,170,1683,1495,177,166,1203,1363
M1 [Ante Natal Care Services ANC],1.8,Number of pregnancy test kits used at SC level,TOTAL,12516,458,501,1062,520,1006,328,708,3659,3330,221,723
M2 [Deliveries],2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,682,0,95,6,5,0,31,0,231,281,3,30
M2 [Deliveries],2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,7772,530,280,215,1666,1257,731,306,700,627,451,1009
M2 [Deliveries],2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,8454,530,375,221,1671,1257,762,306,931,908,454,1039
M2 [Deliveries],2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,4185,374,216,130,817,424,194,247,432,435,256,660
M2 [Deliveries],2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,33,6,0,11,0,1,1,0,5,2,7,0
M2 [Deliveries],2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,105482,16982,4348,21923,3806,3050,16385,17477,2764,1955,5051,11741
M2 [Deliveries],2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,48808,8766,2435,15350,1430,2377,2007,2940,1688,1169,3726,6920
M2 [Deliveries],2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,5255,860,252,427,731,71,981,414,184,127,658,550
